older-brother,spouse,father	ob,w,f	兄弟眷父
father,father,older-brother,son,spouse,mother	f,f,ob,s,w,m	从父叔眷外祖母
father,father,older-brother,son,spouse,father,father	f,f,ob,s,w,f,f	
father,father,older-brother,son,spouse,father,mother	f,f,ob,s,w,f,m	
father,father,older-brother,son,spouse,mother,father	f,f,ob,s,w,m,f	
father,father,older-brother,son,spouse,mother,mother	f,f,ob,s,w,m,m	
father,father,older-brother,son,spouse,older-brother	f,f,ob,s,w,ob	从父叔眷舅父
father,father,older-brother,son,spouse,younger-sister	f,f,ob,s,w,ls	从父叔眷姨母
father,father,older-brother,son,spouse,older-brother,son	f,f,ob,s,w,ob,s	从父叔眷舅表兄|从父叔眷舅表弟
father,father,older-brother,son,spouse,younger-brother,daughter	f,f,ob,s,w,lb,d	从父叔眷舅表姊|从父叔眷舅表妹
father,father,older-brother,son,spouse,older-sister,daughter	f,f,ob,s,w,os,d	从父叔眷姨表姊|从父叔眷姨表妹
father,father,older-brother,son,spouse,father,father,father	f,f,ob,s,w,f,f,f	
mother,mother,younger-sister,son,spouse,father	m,m,ls,s,w,f	从母舅眷外祖父
mother,mother,younger-sister,son,spouse,mother	m,m,ls,s,w,m	从母舅眷外祖母
mother,mother,younger-sister,son,spouse,father,father	m,m,ls,s,w,f,f	
mother,mother,younger-sister,son,spouse,father,mother	m,m,ls,s,w,f,m	
mother,mother,younger-sister,son,spouse,mother,father	m,m,ls,s,w,m,f	
mother,mother,younger-sister,son,spouse,mother,mother	m,m,ls,s,w,m,m	
mother,mother,younger-sister,son,spouse,older-brother	m,m,ls,s,w,ob	从母舅眷舅父
mother,mother,younger-sister,son,spouse,younger-sister	m,m,ls,s,w,ls	从母舅眷姨母
mother,mother,younger-sister,son,spouse,older-brother,son	m,m,ls,s,w,ob,s	从母舅眷舅表兄|从母舅眷舅表弟
mother,mother,younger-sister,son,spouse,younger-brother,daughter	m,m,ls,s,w,lb,d	从母舅眷舅表姊|从母舅眷舅表妹
mother,mother,younger-sister,son,spouse,older-sister,daughter	m,m,ls,s,w,os,d	从母舅眷姨表姊|从母舅眷姨表妹
mother,mother,younger-sister,son,spouse,father,father,father	m,m,ls,s,w,f,f,f	
