table_row_number	source_sheet_row_numbers	raw_key_set	chain_selector_set	chain_symbol_path	mumuy_primary_term_candidates	mumuy_term_set	our_official_or_fallback_male	our_daily_folk_1st_candidate_male	our_daily_folk_others_male	our_is_exact_match_male	our_official_or_fallback_female	our_daily_folk_1st_candidate_female	our_daily_folk_others_female	our_is_exact_match_female	notes	our_candidate_display	our_judgment
127	159	f,f,xb,d	f,f,xb,d	F.F.YB.D	堂姑	堂姑	自己→第2代祖輩(父系)分支→第1代長輩	堂姑		True	自己→第2代祖輩(父系)分支→第1代長輩	堂姑		True		堂姑	一致
128	161	f,f,xb,d,h	f,f,xb,d,h	F.F.YB.D.SP	堂姑丈	堂姑丈	自己→第2代祖輩(父系)分支→第1代長輩→配偶	堂姑丈		True	自己→第2代祖輩(父系)分支→第1代長輩→配偶	堂姑丈		True		堂姑丈	一致
129	135 | 139 | 143	f,f,xb,s&o | f,f,xb,s&l | f,f,xb,s	f,f,xb,s	F.F.YB.S	堂伯 | 堂叔 | 堂伯叔父	堂伯 | 堂叔 | 堂伯叔父 | 堂叔伯 | 从父	自己→第2代祖輩(父系)分支→第1代長輩	堂叔 | 從父		True	自己→第2代祖輩(父系)分支→第1代長輩	堂叔 | 從父		True		堂叔	一致
130	147 | 149	f,f,xb,s,s&o | f,f,xb,s,s&l	f,f,xb,s,s	F.F.YB.S.S	从堂兄 | 从堂弟	从堂兄 | 从堂弟	自己→旁系同輩(分家於第2代)	從堂弟		True	自己→旁系同輩(分家於第2代)	從堂弟		True		從堂弟	一致
131	151	f,f,xb,s,s,s	f,f,xb,s,s,s	F.F.YB.S.S.S	从堂侄	从堂侄 | 三从子	自己→旁系(分家於第2代)→第1代晚輩	從堂姪子 | 從堂姪|三從子		True	自己→旁系(分家於第2代)→第1代晚輩	從堂姪子 | 從堂姪|三從子		True		從堂姪子	可接受簡寫：從堂姪子
132	153	f,f,xb,s,s,s,s	f,f,xb,s,s,s,s	F.F.YB.S.S.S.S	从堂侄孙	从堂侄孙 | 三从孙	自己→旁系(分家於第2代)→第2代晚輩	從堂姪孫子		True	自己→旁系(分家於第2代)→第2代晚輩	從堂姪孫子		True		從堂姪孫子	可接受簡寫：從堂姪孫子
133	155	f,f,xb,s,s,s,s,s	f,f,xb,s,s,s,s,s	F.F.YB.S.S.S.S.S	从堂侄曾孙	从堂侄曾孙 | 三曾孙	自己→旁系(分家於第2代)→第3代晚輩	從堂姪曾孫子		True	自己→旁系(分家於第2代)→第3代晚輩	從堂姪曾孫子		True		從堂姪曾孫子	可接受簡寫：從堂姪曾孫子
134	157	f,f,xb,s,s,s,s,s,s	f,f,xb,s,s,s,s,s,s	F.F.YB.S.S.S.S.S.S	从堂侄玄孙	从堂侄玄孙 | 三玄孙	自己→旁系(分家於第2代)→第4代晚輩	從堂姪玄孫子		True	自己→旁系(分家於第2代)→第4代晚輩	從堂姪玄孫子		True		從堂姪玄孫子	可接受簡寫：從堂姪玄孫子
135	137 | 141 | 145	f,f,xb,s&o,w | f,f,xb,s&l,w | f,f,xb,s,w	f,f,xb,s,w	F.F.YB.S.SP	堂伯母 | 堂婶 | 堂伯叔母	堂伯母 | 堂婶 | 堂伯叔母 | 从母	自己→第2代祖輩(父系)分支→第1代長輩→配偶	堂嬸		True	自己→第2代祖輩(父系)分支→第1代長輩→配偶	堂嬸		True		堂嬸	一致
136	50	f,f,lb,w	f,f,lb,w	F.F.YB.SP	叔婆	叔婆 | 婶婆 | 小奶奶 | 叔娭毑 | 晚婆 | 幺奶	自己→第2代祖輩(父系入線)→兄弟姐妹(女)→配偶	叔祖母 | 叔婆|嬸婆|幺奶|叔娭毑		True	自己→第2代祖輩(父系入線)→兄弟姐妹(女)→配偶	叔祖母 | 叔婆|嬸婆|幺奶|叔娭毑		True		叔祖母	可接受簡寫：叔祖母
137	52	f,f,xs	f,f,xs	F.F.YS	姑奶奶	姑奶奶 | 祖姑 | 姑奶 | 恩婆 | 姑娭毑	自己→第2代祖輩(父系入線)→兄弟姐妹(女)	姑祖母 | 姑奶奶|姑奶|姑婆|恩婆|姑娭毑|祖姑		True	自己→第2代祖輩(父系入線)→兄弟姐妹(女)	姑祖母 | 姑奶奶|姑奶|姑婆|恩婆|姑娭毑|祖姑		True		姑祖母	可接受簡寫：姑祖母
138	54	f,f,xs,h	f,f,xs,h	F.F.YS.SP	姑爷爷	姑爷爷 | 祖姑丈 | 恩爹 | 姑丈公 | 丈公	自己→第2代祖輩(父系入線)→兄弟姐妹(男)→配偶	姑祖父 | 姑爺爺|姑丈公|姑公|恩爹|祖姑丈		True	自己→第2代祖輩(父系入線)→兄弟姐妹(男)→配偶	姑祖父 | 姑爺爺|姑丈公|姑公|恩爹|祖姑丈		True		姑祖父	可接受簡寫：姑祖父
139	44	f,m	f,m	F.M	奶奶	奶奶 | 祖母 | 祖婆 | 阿奶 | 阿婆 | 奶娘 | 亚嬷 | 亚婆 | 依奶 | 大母 | 祖嫲 | 嫲嫲 | 奶 | 重慈 | 阿嬷 | 婻婻 | 娭毑 | 嗯奶 | 娘姆 | 媪婆 | 亲婆	自己→第2代祖輩(父系女)	祖母 | 奶奶|奶|阿嬤|祖嫲|祖婆|依奶|阿奶|阿婆|親婆|娭毑|亞嬤|亞婆|嫲嫲|大母		True	自己→第2代祖輩(父系女)	祖母 | 奶奶|奶|阿嬤|祖嫲|祖婆|依奶|阿奶|阿婆|親婆|娭毑|亞嬤|亞婆|嫲嫲|大母		True		祖母	一致
140	37	f,m,f	f,m,f	F.M.F	曾外祖父	曾外祖父 | 曾外祖 | 外曾毑父 | 太外公 | 太外爷 | 太外翁 | 太外爷爷	自己→第3代祖輩(父系男)	曾外祖父 | 太外爺|太外爺爺|太外公|曾外祖		True	自己→第3代祖輩(父系男)	曾外祖父 | 太外爺|太外爺爺|太外公|曾外祖		True		曾外祖父	一致
141	23	f,m,f,f	f,m,f,f	F.M.F.F	曾外曾祖父	曾外曾祖父 | 外高外毑父	自己→第4代祖輩(父系男)	曾外曾祖父		True	自己→第4代祖輩(父系男)	曾外曾祖父		True		曾外曾祖父	一致
142	24	f,m,f,m	f,m,f,m	F.M.F.M	曾外曾祖母	曾外曾祖母 | 外高外毑母	自己→第4代祖輩(父系女)	曾外曾祖母		True	自己→第4代祖輩(父系女)	曾外曾祖母		True		曾外曾祖母	一致
143	38	f,m,m	f,m,m	F.M.M	曾外祖母	曾外祖母 | 外曾毑母 | 太外婆 | 太外奶 | 太外嬷 | 太外姆 | 太外奶奶	自己→第3代祖輩(父系女)	曾外祖母 | 太外奶|太外奶奶|太外婆		True	自己→第3代祖輩(父系女)	曾外祖母 | 太外奶|太外奶奶|太外婆		True		曾外祖母	一致
144	25	f,m,m,f	f,m,m,f	F.M.M.F	曾外曾外祖父	曾外曾外祖父 | 外高毑父	自己→第4代祖輩(父系男)	曾外曾外祖父		True	自己→第4代祖輩(父系男)	曾外曾外祖父		True		曾外曾外祖父	一致
145	26	f,m,m,m	f,m,m,m	F.M.M.M	曾外曾外祖母	曾外曾外祖母 | 外高毑母	自己→第4代祖輩(父系女)	曾外曾外祖母		True	自己→第4代祖輩(父系女)	曾外曾外祖母		True		曾外曾外祖母	一致
146	55 | 59	f,m,ob | f,m,xb	f,m,ob | f,m,xb	F.M.OB	大舅爷 | 舅爷爷	大舅爷 | 大舅爹 | 舅爷爷 | 舅祖 | 舅爹 | 太舅父	自己→第2代祖輩(父系入線)→兄弟姐妹(男)	舅祖父 | 舅爺|舅爺爺|舅公|舅祖|太舅父		True	自己→第2代祖輩(父系入線)→兄弟姐妹(男)	舅祖父 | 舅爺|舅爺爺|舅公|舅祖|太舅父		True		舅祖父	可接受簡寫：舅祖父
147	56 | 61	f,m,ob,w | f,m,xb,w	f,m,ob,w | f,m,xb,w	F.M.OB.SP	大舅婆 | 舅奶奶	大舅婆 | 舅奶奶 | 妗婆 | 舅婆 | 妗奶 | 太舅母	自己→第2代祖輩(父系入線)→兄弟姐妹(女)→配偶	舅祖母 | 舅奶奶|妗婆|妗奶|舅婆|太舅母		True	自己→第2代祖輩(父系入線)→兄弟姐妹(女)→配偶	舅祖母 | 舅奶奶|妗婆|妗奶|舅婆|太舅母		True		舅祖母	可接受簡寫：舅祖母
148	63	f,m,xs	f,m,xs	F.M.OS	姨奶奶	姨奶奶 | 姨奶 | 姨娭毑	自己→第2代祖輩(父系入線)→兄弟姐妹(女)	姨祖母 | 姨奶奶|姨奶|姨婆|姨娭毑		True	自己→第2代祖輩(父系入線)→兄弟姐妹(女)	姨祖母 | 姨奶奶|姨奶|姨婆|姨娭毑		True		姨祖母	可接受簡寫：姨祖母
149	65	f,m,xs,h	f,m,xs,h	F.M.OS.SP	姨爷爷	姨爷爷 | 姨公公 | 姨爹 | 姨丈公 | 丈公	自己→第2代祖輩(父系入線)→兄弟姐妹(男)→配偶	姨祖父 | 姨爺|姨爺爺|姨公|姨公公|姨丈公		True	自己→第2代祖輩(父系入線)→兄弟姐妹(男)→配偶	姨祖父 | 姨爺|姨爺爺|姨公|姨公公|姨丈公		True		姨祖父	可接受簡寫：姨祖父
150	57 | 60	f,m,lb | f,m,xb	f,m,lb | f,m,xb	F.M.YB	小舅爷 | 舅爷爷	小舅爷 | 小舅爹 | 舅爷爷 | 舅祖 | 舅爹 | 太舅父	自己→第2代祖輩(父系入線)→兄弟姐妹(男)	舅祖父 | 舅爺|舅爺爺|舅公|舅祖|太舅父		True	自己→第2代祖輩(父系入線)→兄弟姐妹(男)	舅祖父 | 舅爺|舅爺爺|舅公|舅祖|太舅父		True		舅祖父	可接受簡寫：舅祖父
151	58 | 62	f,m,lb,w | f,m,xb,w	f,m,lb,w | f,m,xb,w	F.M.YB.SP	小舅婆 | 舅奶奶	小舅婆 | 舅奶奶 | 妗婆 | 舅婆 | 妗奶 | 太舅母	自己→第2代祖輩(父系入線)→兄弟姐妹(女)→配偶	舅祖母 | 舅奶奶|妗婆|妗奶|舅婆|太舅母		True	自己→第2代祖輩(父系入線)→兄弟姐妹(女)→配偶	舅祖母 | 舅奶奶|妗婆|妗奶|舅婆|太舅母		True		舅祖母	可接受簡寫：舅祖母
152	64	f,m,xs	f,m,xs	F.M.YS	姨奶奶	姨奶奶 | 姨奶 | 姨娭毑	自己→第2代祖輩(父系入線)→兄弟姐妹(女)	姨祖母 | 姨奶奶|姨奶|姨婆|姨娭毑		True	自己→第2代祖輩(父系入線)→兄弟姐妹(女)	姨祖母 | 姨奶奶|姨奶|姨婆|姨娭毑		True		姨祖母	可接受簡寫：姨祖母
153	66	f,m,xs,h	f,m,xs,h	F.M.YS.SP	姨爷爷	姨爷爷 | 姨公公 | 姨爹 | 姨丈公 | 丈公	自己→第2代祖輩(父系入線)→兄弟姐妹(男)→配偶	姨祖父 | 姨爺|姨爺爺|姨公|姨公公|姨丈公		True	自己→第2代祖輩(父系入線)→兄弟姐妹(男)→配偶	姨祖父 | 姨爺|姨爺爺|姨公|姨公公|姨丈公		True		姨祖父	可接受簡寫：姨祖父
154	84	f,ob	f,ob	F.OB	伯父	伯父 | 伯伯 | 伯爸 | 阿伯 | 伯爷 | 依伯 | 伯儿 | 大伯 | 大爹 | 大爸 | 大爸爸 | 世父 | 大爷 | 大大 | 几伯 | 伯	自己→第1代祖輩(父係男)→兄弟	伯父 | 伯伯|大伯|伯|大爺|大大|阿伯|依伯|伯爸|大爹|大爸|大爸爸|伯爺|世父		True	自己→第1代祖輩(父係男)→兄弟	伯父 | 伯伯|大伯|伯|大爺|大大|阿伯|依伯|伯爸|大爹|大爸|大爸爸|伯爺|世父		True		伯父	一致
155	110 | 114	f,xb,d&o | f,xb,d&l	f,xb,d	F.OB.D	堂姐 | 堂妹	堂姐 | 堂大姐 | 堂妹 | 堂细妹	自己→旁系同輩(分家於第1代)	堂姐		True	自己→旁系同輩(分家於第1代)	堂姐		True		堂姐	一致
156	122	f,xb,d,d	f,xb,d,d	F.OB.D.D	堂外甥女	堂外甥女	自己→旁系(分家於第1代)→第1代晚輩	堂外甥女		True	自己→旁系(分家於第1代)→第1代晚輩	堂外甥女		True		堂外甥女	一致
157	124	f,xb,d,d,h	f,xb,d,d,h	F.OB.D.D.SP	堂外甥女婿	堂外甥女婿	自己→旁系(分家於第1代)→第1代晚輩→配偶	堂外甥婿 | 堂外甥女婿		True	自己→旁系(分家於第1代)→第1代晚輩→配偶	堂外甥婿 | 堂外甥女婿		True		堂外甥婿	可接受簡寫：堂外甥婿
158	118	f,xb,d,s	f,xb,d,s	F.OB.D.S	堂外甥	堂外甥	自己→旁系(分家於第1代)→第1代晚輩	堂外甥		True	自己→旁系(分家於第1代)→第1代晚輩	堂外甥		True		堂外甥	一致
159	120	f,xb,d,s,w	f,xb,d,s,w	F.OB.D.S.SP	堂外甥媳妇	堂外甥媳妇	自己→旁系(分家於第1代)→第1代晚輩→配偶	堂外甥媳 | 堂外甥媳婦		True	自己→旁系(分家於第1代)→第1代晚輩→配偶	堂外甥媳 | 堂外甥媳婦		True		堂外甥媳	可接受簡寫：堂外甥媳
160	112 | 116	f,xb,d&o,h | f,xb,d&l,h	f,xb,d,h	F.OB.D.SP	堂姐夫 | 堂妹夫	堂姐夫 | 堂妹夫	自己→姐→配偶	堂姐夫		True	自己→姐→配偶	堂姐夫		True		堂姐夫	一致
161	88 | 92	f,xb,s&o | f,xb,s&l	f,xb,s	F.OB.S	堂哥 | 堂弟	堂哥 | 堂老兄 | 堂弟 | 堂老弟	自己→旁系同輩(分家於第1代)	堂兄 | 堂哥		True	自己→旁系同輩(分家於第1代)	堂兄 | 堂哥		True		堂兄	可接受簡寫：堂兄
162	106	f,xb,s,d	f,xb,s,d	F.OB.S.D	堂侄女	堂侄女	自己→旁系(分家於第1代)→第1代晚輩	堂姪女		True	自己→旁系(分家於第1代)→第1代晚輩	堂姪女		True		堂姪女	一致
163	108	f,xb,s,d,h	f,xb,s,d,h	F.OB.S.D.SP	堂侄女婿	堂侄女婿	自己→旁系(分家於第1代)→第1代晚輩→配偶	堂姪婿 | 堂姪女婿		True	自己→旁系(分家於第1代)→第1代晚輩→配偶	堂姪婿 | 堂姪女婿		True		堂姪婿	可接受簡寫：堂姪婿
164	96	f,xb,s,s	f,xb,s,s	F.OB.S.S	堂侄	堂侄 | 再从子	自己→旁系(分家於第1代)→第1代晚輩	堂姪子 | 堂姪|再從子		True	自己→旁系(分家於第1代)→第1代晚輩	堂姪子 | 堂姪|再從子		True		堂姪子	可接受簡寫：堂姪子
165	100	f,xb,s,s,s	f,xb,s,s,s	F.OB.S.S.S	堂侄孙	堂侄孙 | 再从孙	自己→旁系(分家於第1代)→第2代晚輩	堂姪孫子 | 堂姪孫|再從孫		True	自己→旁系(分家於第1代)→第2代晚輩	堂姪孫子 | 堂姪孫|再從孫		True		堂姪孫子	可接受簡寫：堂姪孫子
166	102	f,xb,s,s,s,s	f,xb,s,s,s,s	F.OB.S.S.S.S	堂曾孙	堂曾孙 | 再曾孙	自己→旁系(分家於第1代)→第3代晚輩	堂姪曾孫子		True	自己→旁系(分家於第1代)→第3代晚輩	堂姪曾孫子		True		堂姪曾孫子	可接受簡寫：堂姪曾孫子
167	104	f,xb,s,s,s,s,s	f,xb,s,s,s,s,s	F.OB.S.S.S.S.S	堂玄孙	堂玄孙 | 再玄孙	自己→旁系(分家於第1代)→第4代晚輩	堂姪玄孫子		True	自己→旁系(分家於第1代)→第4代晚輩	堂姪玄孫子		True		堂姪玄孫子	可接受簡寫：堂姪玄孫子
168	98	f,xb,s,s,w	f,xb,s,s,w	F.OB.S.S.SP	堂侄媳妇	堂侄媳妇	自己→旁系(分家於第1代)→第1代晚輩→配偶	堂姪媳 | 堂姪媳婦		True	自己→旁系(分家於第1代)→第1代晚輩→配偶	堂姪媳 | 堂姪媳婦		True		堂姪媳	可接受簡寫：堂姪媳
169	90 | 94	f,xb,s&o,w | f,xb,s&l,w	f,xb,s,w	F.OB.S.SP	堂嫂 | 堂弟媳	堂嫂 | 堂兄嫂 | 堂弟媳 | 堂弟妇 | 堂弟妹	自己→兄→配偶	堂嫂 | 堂兄嫂		True	自己→兄→配偶	堂嫂 | 堂兄嫂		True		堂嫂	一致
170	85	f,ob,w	f,ob,w	F.OB.SP	伯母	伯母 | 伯妈 | 伯娘 | 依姆 | 世母 | 大娘 | 伯妇 | 大嬷 | 大妈 | 大妈妈 | 大姆妈 | 伯姐 | 姆	自己→第1代祖輩(父係女)→兄弟	伯母 | 大娘|大媽|依姆|大嬤|姆|伯媽|伯娘|大媽媽|大姆媽|世母|伯婦		True	自己→第1代祖輩(父係女)→兄弟	伯母 | 大娘|大媽|依姆|大嬤|姆|伯媽|伯娘|大媽媽|大姆媽|世母|伯婦		True		伯母	一致
171	126 | 130	f,os | f,xs	f,os | f,xs	F.OS	大姑 | 姑妈	大姑 | 姑姊 | 姑嬷 | 姑妈 | 姑母 | 姑姑 | 恩妈 | 几姑 | 姑 | 嬢嬢 | 娘娘	自己→第1代祖輩(父係女)→姐妹	姑母 | 姑姑|大姑|姑|小姑|老姑|姑媽|姑嬤|姑仔|尕娘|嬢嬢|娘娘|幺姑姐|姑姐|姑妹|姑姊		True	自己→第1代祖輩(父係女)→姐妹	姑母 | 姑姑|大姑|姑|小姑|老姑|姑媽|姑嬤|姑仔|尕娘|嬢嬢|娘娘|幺姑姐|姑姐|姑妹|姑姊		True		姑母	一致
172	127 | 132	f,os,h | f,xs,h	f,os,h | f,xs,h	F.OS.SP	大姑丈 | 姑丈	大姑丈 | 大姑夫 | 恩伯 | 姑丈 | 姑父 | 姑爸 | 恩爸 | 姑伯 | 姑爹 | 姑夫 | 姑婿 | 姑郎 | 亘	自己→第1代祖輩(父係男)→姐妹	姑父 | 姑丈|姑夫|恩伯|恩叔|恩爸|姑爹|姑婿|姑郎		True	自己→第1代祖輩(父係男)→姐妹	姑父 | 姑丈|姑夫|恩伯|恩叔|恩爸|姑爹|姑婿|姑郎		True		姑父	一致
173	86	f,lb	f,lb	F.YB	叔叔	叔叔 | 叔父 | 叔爸 | 阿叔 | 叔爹 | 依叔 | 叔儿 | 小叔 | 小爹 | 小爸 | 小爸爸 | 仲父 | 季父 | 叔仔 | 几叔 | 叔	自己→第1代祖輩(父係男)→兄弟	叔父 | 叔叔|小叔|叔|阿叔|依叔|叔仔|叔爸|小爹|小爸|小爸爸|叔爹|仲父|季父		True	自己→第1代祖輩(父係男)→兄弟	叔父 | 叔叔|小叔|叔|阿叔|依叔|叔仔|叔爸|小爹|小爸|小爸爸|叔爹|仲父|季父		True		叔父	一致
174	111 | 115	f,xb,d&o | f,xb,d&l	f,xb,d	F.YB.D	堂姐 | 堂妹	堂姐 | 堂大姐 | 堂妹 | 堂细妹	自己→旁系同輩(分家於第1代)	堂妹 | 堂細妹		True	自己→旁系同輩(分家於第1代)	堂妹 | 堂細妹		True		堂妹	一致
175	123	f,xb,d,d	f,xb,d,d	F.YB.D.D	堂外甥女	堂外甥女	自己→旁系(分家於第1代)→第1代晚輩	堂外甥女		True	自己→旁系(分家於第1代)→第1代晚輩	堂外甥女		True		堂外甥女	一致
176	125	f,xb,d,d,h	f,xb,d,d,h	F.YB.D.D.SP	堂外甥女婿	堂外甥女婿	自己→旁系(分家於第1代)→第1代晚輩→配偶	堂外甥婿 | 堂外甥女婿		True	自己→旁系(分家於第1代)→第1代晚輩→配偶	堂外甥婿 | 堂外甥女婿		True		堂外甥婿	可接受簡寫：堂外甥婿
177	119	f,xb,d,s	f,xb,d,s	F.YB.D.S	堂外甥	堂外甥	自己→旁系(分家於第1代)→第1代晚輩	堂外甥		True	自己→旁系(分家於第1代)→第1代晚輩	堂外甥		True		堂外甥	一致
178	121	f,xb,d,s,w	f,xb,d,s,w	F.YB.D.S.SP	堂外甥媳妇	堂外甥媳妇	自己→旁系(分家於第1代)→第1代晚輩→配偶	堂外甥媳 | 堂外甥媳婦		True	自己→旁系(分家於第1代)→第1代晚輩→配偶	堂外甥媳 | 堂外甥媳婦		True		堂外甥媳	可接受簡寫：堂外甥媳
179	113 | 117	f,xb,d&o,h | f,xb,d&l,h	f,xb,d,h	F.YB.D.SP	堂姐夫 | 堂妹夫	堂姐夫 | 堂妹夫	自己→妹→配偶	堂妹夫		True	自己→妹→配偶	堂妹夫		True		堂妹夫	一致
180	89 | 93	f,xb,s&o | f,xb,s&l	f,xb,s	F.YB.S	堂哥 | 堂弟	堂哥 | 堂老兄 | 堂弟 | 堂老弟	自己→旁系同輩(分家於第1代)	堂弟		True	自己→旁系同輩(分家於第1代)	堂弟		True		堂弟	一致
181	107	f,xb,s,d	f,xb,s,d	F.YB.S.D	堂侄女	堂侄女	自己→旁系(分家於第1代)→第1代晚輩	堂姪女		True	自己→旁系(分家於第1代)→第1代晚輩	堂姪女		True		堂姪女	一致
182	109	f,xb,s,d,h	f,xb,s,d,h	F.YB.S.D.SP	堂侄女婿	堂侄女婿	自己→旁系(分家於第1代)→第1代晚輩→配偶	堂姪婿 | 堂姪女婿		True	自己→旁系(分家於第1代)→第1代晚輩→配偶	堂姪婿 | 堂姪女婿		True		堂姪婿	可接受簡寫：堂姪婿
183	97	f,xb,s,s	f,xb,s,s	F.YB.S.S	堂侄	堂侄 | 再从子	自己→旁系(分家於第1代)→第1代晚輩	堂姪子 | 堂姪|再從子		True	自己→旁系(分家於第1代)→第1代晚輩	堂姪子 | 堂姪|再從子		True		堂姪子	可接受簡寫：堂姪子
184	101	f,xb,s,s,s	f,xb,s,s,s	F.YB.S.S.S	堂侄孙	堂侄孙 | 再从孙	自己→旁系(分家於第1代)→第2代晚輩	堂姪孫子 | 堂姪孫|再從孫		True	自己→旁系(分家於第1代)→第2代晚輩	堂姪孫子 | 堂姪孫|再從孫		True		堂姪孫子	可接受簡寫：堂姪孫子
185	103	f,xb,s,s,s,s	f,xb,s,s,s,s	F.YB.S.S.S.S	堂曾孙	堂曾孙 | 再曾孙	自己→旁系(分家於第1代)→第3代晚輩	堂姪曾孫子		True	自己→旁系(分家於第1代)→第3代晚輩	堂姪曾孫子		True		堂姪曾孫子	可接受簡寫：堂姪曾孫子
186	105	f,xb,s,s,s,s,s	f,xb,s,s,s,s,s	F.YB.S.S.S.S.S	堂玄孙	堂玄孙 | 再玄孙	自己→旁系(分家於第1代)→第4代晚輩	堂姪玄孫子		True	自己→旁系(分家於第1代)→第4代晚輩	堂姪玄孫子		True		堂姪玄孫子	可接受簡寫：堂姪玄孫子
187	99	f,xb,s,s,w	f,xb,s,s,w	F.YB.S.S.SP	堂侄媳妇	堂侄媳妇	自己→旁系(分家於第1代)→第1代晚輩→配偶	堂姪媳 | 堂姪媳婦		True	自己→旁系(分家於第1代)→第1代晚輩→配偶	堂姪媳 | 堂姪媳婦		True		堂姪媳	可接受簡寫：堂姪媳
188	91 | 95	f,xb,s&o,w | f,xb,s&l,w	f,xb,s,w	F.YB.S.SP	堂嫂 | 堂弟媳	堂嫂 | 堂兄嫂 | 堂弟媳 | 堂弟妇 | 堂弟妹	自己→弟→配偶	堂弟媳 | 堂弟妹|堂弟婦		True	自己→弟→配偶	堂弟媳 | 堂弟妹|堂弟婦		True		堂弟媳	一致
189	87	f,lb,w	f,lb,w	F.YB.SP	婶婶	婶婶 | 叔母 | 叔妈 | 阿婶 | 叔娘 | 依婶 | 婶儿 | 小婶 | 小娘 | 小妈 | 小妈妈 | 仲母 | 季母 | 叔妇 | 几婶 | 婶 | 婶母 | 婶妈 | 婶娘 | 婶子 | 家婶 | 婶爹 | 嬢嬢	自己→第1代祖輩(父係女)→兄弟	嬸母 | 嬸嬸|小嬸|嬸|嬸兒|嬸媽|嬸子|阿嬸|依嬸|叔媽|叔娘|小媽|小媽媽|嬸娘|小娘|家嬸|叔母|仲母|季母|叔婦		True	自己→第1代祖輩(父係女)→兄弟	嬸母 | 嬸嬸|小嬸|嬸|嬸兒|嬸媽|嬸子|阿嬸|依嬸|叔媽|叔娘|小媽|小媽媽|嬸娘|小娘|家嬸|叔母|仲母|季母|叔婦		True		嬸母	一致
190	128 | 131	f,ls | f,xs	f,ls | f,xs	F.YS	小姑 | 姑妈	小姑 | 姑姐 | 姑妹 | 姑仔 | 尕娘 | 幺姑姐 | 老姑 | 姑妈 | 姑母 | 姑姑 | 恩妈 | 几姑 | 姑 | 嬢嬢 | 娘娘	自己→第1代祖輩(父係女)→姐妹	姑母 | 姑姑|大姑|姑|小姑|老姑|姑媽|姑嬤|姑仔|尕娘|嬢嬢|娘娘|幺姑姐|姑姐|姑妹|姑姊		True	自己→第1代祖輩(父係女)→姐妹	姑母 | 姑姑|大姑|姑|小姑|老姑|姑媽|姑嬤|姑仔|尕娘|嬢嬢|娘娘|幺姑姐|姑姐|姑妹|姑姊		True		姑母	一致
191	129 | 133	f,ls,h | f,xs,h	f,ls,h | f,xs,h	F.YS.SP	小姑丈 | 姑丈	小姑丈 | 小姑夫 | 恩叔 | 姑丈 | 姑父 | 姑爸 | 恩爸 | 姑伯 | 姑爹 | 姑夫 | 姑婿 | 姑郎 | 亘	自己→第1代祖輩(父係男)→姐妹	姑父 | 姑丈|姑夫|恩伯|恩叔|恩爸|姑爹|姑婿|姑郎		True	自己→第1代祖輩(父係男)→姐妹	姑父 | 姑丈|姑夫|恩伯|恩叔|恩爸|姑爹|姑婿|姑郎		True		姑父	一致
192	218	m	m	M	妈妈	妈妈 | 母亲 | 老母亲 | 老妈 | 阿妈 | 阿母 | 阿娘 | 老母 | 妈咪 | 依妈 | 老娘 | 老乸 | 老妈子 | 妈子 | 娘老子 | 妈 | 母 | 娘 | 阿毑 | 姆嬷 | 姆妈 | 娘亲	母親	母親 | 媽媽|老媽|老母親|媽|娘|老母|阿媽|阿母|依媽|阿娘|姆嬤|姆媽|阿毑|媽咪|老乸|母|娘親		True	母親	母親 | 媽媽|老媽|老母親|媽|娘|老母|阿媽|阿母|依媽|阿娘|姆嬤|姆媽|阿毑|媽咪|老乸|母|娘親		True		母親	一致
193	45	m,f	m,f	M.F	外公	外公 | 外祖父 | 姥爷 | 阿公 | 外爷 | 客公 | 毑父 | 毑公 | 姥公 | 舅家爷 | 嘎公 | 嘎爹 | 嘎嘎爹 | 嘎爷爷 | 尕公 | 毑爹 | 毑爷 | 外大父 | 姥爹 | 魏公 | 魏爷 | 简爷	自己→第2代祖輩(母系男)	外祖父 | 姥爺|姥公|舅家爺|姥爹|外公|外爺|尕公|嘎公|嘎爹|嘎嘎爹|嘎爺爺|毑父|毑公|毑爹|毑爺|外大父		True	自己→第2代祖輩(母系男)	外祖父 | 姥爺|姥公|舅家爺|姥爹|外公|外爺|尕公|嘎公|嘎爹|嘎嘎爹|嘎爺爺|毑父|毑公|毑爹|毑爺|外大父		True		外祖父	一致
194	39	m,f,f	m,f,f	M.F.F	外曾祖父	外曾祖父 | 外曾祖 | 曾外毑父 | 外太公 | 外太爷 | 外太翁 | 外太爷爷	自己→第3代祖輩(母系男)	外曾祖父 | 外太爺爺|外太爺|外太公|外曾祖		True	自己→第3代祖輩(母系男)	外曾祖父 | 外太爺爺|外太爺|外太公|外曾祖		True		外曾祖父	一致
195	27	m,f,f,f	m,f,f,f	M.F.F.F	外高祖父	外高祖父 | 曾外曾外毑父	自己→第4代祖輩(母系男)	外高祖父		True	自己→第4代祖輩(母系男)	外高祖父		True		外高祖父	一致
196	28	m,f,f,m	m,f,f,m	M.F.F.M	外高祖母	外高祖母 | 曾外曾外毑母	自己→第4代祖輩(母系女)	外高祖母		True	自己→第4代祖輩(母系女)	外高祖母		True		外高祖母	一致
